FECHA,HORA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-01,14:00,O3,0.05428,0.04933,0.05197,0.044,0.032,0.05912,0.03902,0.05388,0.04462,0.03812
2016-01-01,14:00,PM10,10.32,12.98,,70.76,7.4,13.93,16.07,15.82,9.85,74.05
2016-01-01,14:00,CO,0.448,0.176,0.374,0.553,0.394,0.268,0.089875,0.473,0.19,0.596
2016-01-01,14:00,NO2,0.01305,0.01092,0.00625,0.0118,0.00798,0.00643,0.00675,0.015,0.00823,0.01317
2016-01-01,14:00,SO2,0.00109,0.00368,,,0.00123,,0.0024,0.00132,,0.00291
2016-01-01,15:00,O3,0.05838,0.05698,0.0568,0.04198,0.03492,0.06358,0.04332,0.05335,0.04662,0.04283
2016-01-01,15:00,PM10,18.5,17.65,,109.18,10.51,23.94,24.07,16.05,19.05,150.49
2016-01-01,15:00,CO,0.464,0.18,0.367,0.797,0.702,0.264,0.09215,0.542,0.206,0.543
2016-01-01,15:00,NO2,0.01398,0.0093,0.0058,0.0165,0.00937,0.00553,0.00763,0.01862,0.00908,0.01188
2016-01-01,15:00,SO2,0.00121,0.00365,,,0.001,,0.0024,0.00132,,0.00294
2016-01-01,16:00,O3,0.05758,0.0628,0.05872,0.0362,0.03697,0.05935,0.04393,0.05397,0.04913,0.04002
2016-01-01,16:00,PM10,22.74,22.92,,97.82,13.29,30.31,28.45,15.28,20.94,136.0
2016-01-01,16:00,CO,0.378,0.079,0.467,0.991,0.722,0.266,0.093652,0.482,0.334,0.519
2016-01-01,16:00,NO2,0.01367,0.00933,0.00725,0.02187,0.01083,0.00605,0.00768,0.01467,0.014,0.01245
2016-01-01,16:00,SO2,0.00104,0.0039,,,0.00097,,0.0024,0.00113,,0.00278
2016-01-01,17:00,O3,0.04535,0.0528,0.0476,0.02967,0.02907,0.05258,0.03623,0.05297,0.04752,0.0356
2016-01-01,17:00,PM10,31.64,30.54,,57.52,11.4,21.89,27.63,15.04,25.13,122.79
2016-01-01,17:00,CO,0.401,0.168,0.665,0.845,0.834,0.269,0.098562,0.499,0.524,0.639
2016-01-01,17:00,NO2,0.0152,0.01162,0.00902,0.01832,0.01452,0.00633,0.00803,0.01495,0.01702,0.01605
2016-01-01,17:00,SO2,0.001,0.00366,,,0.00088,,0.0024,0.00112,,0.00345
2016-01-01,18:00,O3,0.03078,0.03637,0.0394,0.01755,0.02127,0.04562,0.0277,0.0423,0.0199,0.02738
2016-01-01,18:00,PM10,29.91,32.75,,73.32,12.27,21.88,26.15,13.12,17.81,94.06
2016-01-01,18:00,CO,0.522,0.265,0.694,2.119,1.135,0.278,0.0994,0.598,0.922,0.905
2016-01-01,18:00,NO2,0.02663,0.01548,0.0176,0.04,0.02662,0.00738,0.0142,0.01838,0.04167,0.02828
2016-01-01,18:00,SO2,0.00116,0.00349,,,0.0014,,0.0024,0.00107,,0.00366
2016-01-01,19:00,O3,0.00848,0.0159,0.0148,0.00323,0.00553,0.03215,0.0163,0.0245,0.00487,0.00953
2016-01-01,19:00,PM10,39.71,31.14,,49.91,18.04,27.61,30.9,26.68,28.17,70.78
2016-01-01,19:00,CO,1.43,0.818,1.451,3.457,2.31,0.461,0.131,0.952,1.545,1.442
2016-01-01,19:00,NO2,0.05538,0.032,0.03535,0.04685,0.05448,0.01807,0.02582,0.03067,0.0578,0.04555
2016-01-01,19:00,SO2,0.0014,0.00329,,0.00202,0.00206,,0.00239,0.001,,0.00341
2016-01-01,20:00,O3,0.00365,0.00703,0.00437,0.002,0.00282,0.01987,0.00475,0.01177,0.00198,0.00422
2016-01-01,20:00,PM10,57.48,38.98,,48.77,28.49,29.31,39.36,36.49,41.6,79.33
2016-01-01,20:00,CO,1.717,1.057,2.106,3.611,2.281,0.7,0.447,1.156,2.206,2.151
2016-01-01,20:00,NO2,0.05595,0.03813,0.04347,0.0416,0.05608,0.03125,0.04107,0.03952,0.05758,0.05185
2016-01-01,20:00,SO2,0.00169,0.00327,,0.00356,0.00246,,0.0024,0.00096,,0.0048
2016-01-01,21:00,O3,0.00455,0.0031,0.00382,0.00442,0.00313,0.0225,0.00163,0.00223,0.00298,0.00663
2016-01-01,21:00,PM10,53.1,39.53,,112.44,48.33,30.58,52.62,44.13,77.99,89.07
2016-01-01,21:00,CO,1.412,1.119,1.907,2.658,2.684,0.554,1.044,1.438,1.701,2.077
2016-01-01,21:00,NO2,0.05112,0.041,0.03758,0.03553,0.0597,0.02405,0.04642,0.04332,0.0544,0.04338
2016-01-01,21:00,SO2,0.00175,0.00341,,0.00185,0.00274,,0.00244,0.00118,,0.00534
2016-01-01,22:00,O3,0.0056,0.001,0.00903,0.01033,0.00265,0.01715,0.00183,0.0163,0.00253,0.00515
2016-01-01,22:00,PM10,31.08,39.73,,185.64,59.65,23.41,51.23,25.4,79.18,82.39
2016-01-01,22:00,CO,1.159,1.571,1.027,0.753,1.954,0.391,0.628,0.543,1.159,1.789
2016-01-01,22:00,NO2,0.04382,0.04295,0.02547,0.01513,0.05328,0.01747,0.04218,0.02058,0.04992,0.03987
2016-01-01,22:00,SO2,0.0014,0.00378,,0.00165,0.0026,,0.00244,0.00091,,0.00409
2016-01-01,23:00,O3,0.00773,0.00257,0.00987,0.00597,0.00267,0.01875,0.00282,0.01855,0.00127,0.00315
2016-01-01,23:00,PM10,26.47,32.14,,140.93,41.44,15.53,41.43,10.49,55.42,60.69
2016-01-01,23:00,CO,0.565,0.734,0.594,0.798,1.25,0.247,0.4,0.367,1.474,2.45
2016-01-01,23:00,NO2,0.0305,0.03058,0.01557,0.0181,0.039,0.0102,0.03027,0.01243,0.04588,0.04187
2016-01-01,23:00,SO2,0.00139,0.00364,,0.0014,0.00236,,0.00242,0.00084,,0.00592
2016-01-02,00:00,O3,0.00802,0.00378,0.01263,0.0077,0.00257,0.0167,0.00805,0.02038,0.0032,0.00395
