FECHA,HORA,PARAM,ATM,AGU,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2015-01-01,17:00,SO2,0.00158,0.00098,,0.00367,0.00303,0.00092,0.0018,0.00107,0.0038,0.00198
2015-01-01,18:00,O3,0.02513,0.037,0.0243,0.03487,0.02397,0.0277,0.02922,0.019,0.02268,0.03708
2015-01-01,18:00,PM10,42.17,30.33,34.3,93.55,47.52,51.76,26.81,77.83,54.32,28.68
2015-01-01,18:00,CO,0.987,0.485,,0.999,0.844,0.844,0.972,0.679,0.8,0.849
2015-01-01,18:00,NO2,0.02377,0.01168,0.02422,0.01245,0.02418,0.02187,0.02582,0.02185,0.02252,0.02163
2015-01-01,18:00,SO2,0.002,0.001,,0.00488,0.00302,0.00098,0.00202,0.00123,0.00442,0.002
2015-01-01,19:00,O3,0.0203,0.03,0.01608,0.0266,0.01622,0.0183,0.01813,0.01145,0.01335,0.02907
2015-01-01,19:00,PM10,54.39,30.78,38.68,102.93,61.76,59.92,43.73,81.54,64.31,33.35
2015-01-01,19:00,CO,0.576,0.468,,1.034,0.895,0.895,0.848,1.131,0.937,0.702
2015-01-01,19:00,NO2,0.01207,0.01208,0.0266,0.01748,0.03185,0.0249,0.02595,0.02847,0.03048,0.01792
2015-01-01,19:00,SO2,0.00172,0.00053,,0.00408,0.003,0.00097,0.00192,0.00143,0.00462,0.00187
2015-01-01,20:00,O3,0.01928,0.02,0.01083,0.02238,0.01122,0.0183,0.01885,0.01117,0.01145,0.02455
2015-01-01,20:00,PM10,25.12,27.8,24.78,61.46,60.84,77.35,24.22,101.2,69.96,27.37
2015-01-01,20:00,CO,0.315,0.455,,0.692,0.669,0.669,0.573,1.211,0.904,0.573
2015-01-01,20:00,NO2,0.00742,0.01282,0.0227,0.01082,0.03427,0.01743,0.01372,0.01607,0.02623,0.0143
2015-01-01,20:00,SO2,0.00102,0.0001,,0.00402,0.00323,0.00095,0.001,0.00122,0.004,0.00193
2015-01-01,21:00,O3,0.01557,0.02,0.01147,0.0183,0.00953,0.00977,0.01673,0.01342,0.01193,0.01997
2015-01-01,21:00,PM10,16.96,18.99,24.07,43.42,60.2,43.44,16.24,122.45,61.83,13.3
2015-01-01,21:00,CO,0.374,0.347,,0.624,0.75,0.75,0.565,0.756,0.612,0.65
2015-01-01,21:00,NO2,0.00853,0.00905,0.01667,0.00968,0.02843,0.02105,0.01377,0.01172,0.01807,0.01332
2015-01-01,21:00,SO2,0.001,0.0,,0.004,0.00303,0.001,0.00107,0.0011,0.00398,0.00142
2015-01-01,22:00,O3,0.01262,0.021,0.00675,0.01268,0.0037,0.01323,0.01247,0.01095,0.00725,0.01862
2015-01-01,22:00,PM10,12.16,11.86,16.71,31.43,27.12,32.09,12.94,83.99,44.13,10.57
2015-01-01,22:00,CO,0.343,0.315,,0.632,0.613,0.613,0.558,0.746,0.761,0.721
2015-01-01,22:00,NO2,0.01033,0.00737,0.02117,0.01552,0.0336,0.0159,0.01562,0.01363,0.0241,0.01378
2015-01-01,22:00,SO2,0.00103,3e-05,,0.004,0.00307,0.001,0.00107,0.00112,0.00395,0.00142
2015-01-01,23:00,O3,0.01567,0.022,0.00497,0.0146,0.00157,0.0173,0.01305,0.00903,0.00673,0.01412
2015-01-01,23:00,PM10,3.76,11.43,16.53,34.75,28.37,33.39,12.95,73.49,35.03,15.57
2015-01-01,23:00,CO,0.168,0.307,,0.533,0.522,0.522,0.498,0.828,0.7,0.592
2015-01-01,23:00,NO2,0.00522,0.00653,0.02158,0.01323,0.03628,0.01135,0.01308,0.0152,0.02372,0.0179
2015-01-01,23:00,SO2,0.001,3e-05,,0.004,0.0038,0.00102,0.00092,0.00063,0.00332,0.00177
2015-01-02,00:00,O3,0.01427,0.021,0.00357,0.014,0.00113,0.0195,0.012,0.01085,0.00458,0.0183
2015-01-02,00:00,PM10,8.71,10.83,7.59,16.31,33.95,21.09,11.46,53.45,29.13,22.86
2015-01-02,00:00,CO,0.373,0.368,,0.285,0.495,0.495,0.529,0.549,1.054,0.577
2015-01-02,00:00,NO2,0.00725,0.00625,0.02303,0.01232,0.03413,0.0099,0.01463,0.01047,0.02472,0.01323
2015-01-02,00:00,SO2,0.001,0.0,,0.004,0.00307,0.00024,0.00173,0.00065,0.00222,0.00143
2015-01-02,01:00,O3,0.0109,0.006,0.00292,0.01317,0.00192,0.00378,0.01468,0.00877,0.00432,0.01768
2015-01-02,01:00,PM10,11.64,14.15,15.17,20.71,34.5,23.35,18.02,55.7,37.88,9.41
2015-01-02,01:00,CO,0.456,0.644,,0.343,0.752,0.752,0.433,0.426,1.069,0.558
2015-01-02,01:00,NO2,0.00897,0.04257,0.0238,0.01213,0.03042,0.02527,0.01083,0.0099,0.02398,0.01153
2015-01-02,01:00,SO2,0.001,0.00165,,0.004,0.00212,2e-05,0.002,0.00033,0.00195,0.0019
2015-01-02,02:00,O3,0.00915,0.008,0.01135,0.00408,0.00393,0.00118,0.01708,0.00617,0.00718,0.02065
2015-01-02,02:00,PM10,9.6,22.13,14.32,24.85,30.38,30.09,13.13,54.45,30.77,12.64
2015-01-02,02:00,CO,0.5,0.57,,0.443,1.099,1.099,0.374,0.506,0.734,0.564
2015-01-02,02:00,NO2,0.0086,0.02057,0.01193,0.022,0.02597,0.02683,0.00813,0.01155,0.0197,0.01125
2015-01-02,02:00,SO2,0.001,0.00083,,0.004,0.0021,0.00068,0.00202,7e-05,0.00177,0.00172
2015-01-02,03:00,O3,0.0058,0.006,0.00702,0.00417,0.00692,0.00092,0.01803,0.0051,0.00425,0.02313
2015-01-02,03:00,PM10,15.77,19.65,14.98,47.09,19.6,31.86,13.93,57.54,38.73,13.28
2015-01-02,03:00,CO,0.605,0.608,,0.974,0.967,0.967,0.343,0.544,0.933,0.576
2015-01-02,03:00,NO2,0.0097,0.02248,0.01622,0.01835,0.02092,0.02787,0.0064,0.01123,0.02083,0.00932
2015-01-02,03:00,SO2,0.001,0.00223,,0.004,0.00197,0.001,0.002,0.00012,0.00197,0.00168
2015-01-02,04:00,O3,0.0051,0.005,0.00122,0.00387,0.00762,0.00117,0.01062,0.00215,0.00428,0.01452
2015-01-02,04:00,PM10,12.93,17.67,12.93,53.72,15.16,29.19,12.36,53.5,37.17,16.77
2015-01-02,04:00,CO,0.599,0.602,,1.081,0.918,0.918,0.465,0.707,1.193,0.603
2015-01-02,04:00,NO2,0.01018,0.0207,0.0228,0.01632,0.02082,0.02625,0.01465,0.01397,0.01992,0.0214
2015-01-02,04:00,SO2,0.001,0.00083,,0.004,0.002,0.00155,0.002,0.00075,0.002,0.00168
2015-01-02,05:00,O3,0.0033,0.001,0.00095,0.00417,,0.00147,0.00427,0.00198,0.00412,0.01427
2015-01-02,05:00,PM10,16.74,20.68,16.95,71.59,,34.2,19.92,62.91,48.53,17.53
2015-01-02,05:00,CO,0.757,0.874,,1.653,1.133,1.133,1.173,1.079,1.368,0.703
2015-01-02,05:00,NO2,0.01333,0.0229,0.02215,0.01537,,0.02642,0.02312,0.0144,0.0236,0.02145
2015-01-02,05:00,SO2,0.00105,5e-05,,0.00442,,0.00182,0.00215,0.00117,0.00273,0.0015
2015-01-02,06:00,O3,0.00215,0.003,0.001,0.00338,,0.00113,0.004,0.00223,0.00425,0.0046
2015-01-02,06:00,PM10,25.43,26.74,33.38,79.71,,59.74,38.83,80.42,59.73,24.78
2015-01-02,06:00,CO,0.935,0.948,,1.718,1.866,1.866,1.691,1.836,1.893,1.048
2015-01-02,06:00,NO2,0.01495,0.02443,0.02075,0.0187,,0.02495,0.02238,0.01515,0.02305,0.03425
2015-01-02,06:00,SO2,0.00177,0.00023,,0.0056,,0.00333,0.003,0.0027,0.0033,0.00155
2015-01-02,07:00,O3,0.00197,0.001,0.001,0.00393,,0.00132,0.00402,0.00198,0.00408,0.00308
