_id,lat,long,id,nombre,codigo,redesid
5cccf5bee2705c1932820620,21.017583333333,-101.25736111111,359,Universidad Gto Sede Belen,UG-B,137
5cccf5bee2705c1932820623,31.859916666667,-116.59372222222,373,Secundaria No. 9,SPABC20,31
5cccf5bee2705c1932820624,32.530988888889,-116.98601111111,376,Instituto Tecnológico de Tijuana ,SPABC01,35
5cccf5bee2705c1932820625,32.568825,-116.62688055556,379,Tecate,SPABC23,34
5cccf5bee2705c1932820626,19.701388888889,-101.195,388,Palacio Municipal,ECH,66
5cccf5bee2705c1932820627,19.314444444444,-99.150055555556,400,Santa Ursula,SUR,119
5cccf5bee2705c193282062b,19.071888888889,-98.151722222222,406,Universidad Tecnológica de Puebla,UTP,74
5cccf5bee2705c193282062c,20.61475,-100.42430555556,408,Delegación Carrillo,CAP,78
5cccf5bee2705c193282062d,20.584805555556,-100.37752777778,409,Auditorio Josefa Ortíz,AJO,78
5cccf5bee2705c193282062e,20.389444444444,-99.972972222222,410,Universidad Autónoma de Querétaro,SJU,146
5cccf5bee2705c193282062f,24.807111111111,-107.39383333333,411,Culiacan,ECLN1,80
5cccf5bee2705c1932820630,21.040238888889,-101.87628333333,423,Purísima del Rincón,PUR,149
5cccf5bee2705c1932820631,25.600555555556,-99.994166666667,424,Cadereyta,SE3,72
5cccf5bee2705c1932820632,25.73,-100.30972222222,425,Universidad,N2,72
5cccf5bee2705c1932820633,25.575277777778,-100.24916666667,426,Pueblo Serena,SUR,72
5cccf5bee2705c1932820634,22.159444444444,-100.95333333333,427,Escuela Primaria 1° de mayo,PRIM,79
5cccf5bee2705c1932820635,31.743333333333,-106.43166666667,428,Instituto de Ingeniería y Tecnología,IIT,150
5cccf5bee2705c1932820636,25.571916666667,-103.49780555556,430,Parque La Esperanza,ESP,43
5cccf5bee2705c1932820637,19.473691944444,-99.046175833333,431,FES Aragón,FAR,119
5cccf5bee2705c1932820638,19.34561,-99.009380833333,432,Santiago Acahualtepec,SAC,119
5cccf5bee2705c1932820639,19.84978,-90.530649166667,435,Campus II Esc. Prep. Dr. Nazario Víctor Montejo Godoy - Universidad Autónoma de Campeche.,PRE,36
